csat_id,ticket_id,assignee_id,score_raw,score,comentario,avaliado_em,ano_mes,semana_iso,promotor,detrator,group_id,nome_grupo,time
52042835029011,62070,50102757263251.0,offered,,,2026-05-26 17:00:35+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52042781481491,62022,50775890335379.0,offered,,,2026-05-26 16:58:42+00:00,2026-05,2026-W22,False,False,42056691282323,Blis Resolve,Blis Resolve
52042264337555,62067,50102757263251.0,bad,1.0,Fiz o cadastro e a 1a consulta era 50 reais. Agora entrei e está 89. A atendente virtual não soube ajudar.,2026-05-26 16:45:20+00:00,2026-05,2026-W22,False,True,50304023554451,IA,IA
52041976039443,62072,50102757263251.0,offered,,,2026-05-26 16:38:47+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52041857205011,62067,50102757263251.0,offered,,,2026-05-26 16:35:51+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52041391449747,62058,43287340696339.0,offered,,,2026-05-26 16:22:12+00:00,2026-05,2026-W22,False,False,43771604769299,Blis Saúde,Blis Saúde
52041032937619,62029,43287340696339.0,good,5.0,,2026-05-26 16:13:42+00:00,2026-05,2026-W22,True,False,43771604769299,Blis Saúde,Blis Saúde
52040946908819,62029,43287340696339.0,offered,,,2026-05-26 16:10:58+00:00,2026-05,2026-W22,False,False,43771604769299,Blis Saúde,Blis Saúde
52040477782163,62054,50102757263251.0,offered,,,2026-05-26 16:00:46+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52040177709587,62021,51393694500371.0,offered,,,2026-05-26 15:53:17+00:00,2026-05,2026-W22,False,False,43771604769299,Blis Saúde,Blis Saúde
52039861929619,62047,50102757263251.0,offered,,,2026-05-26 15:45:42+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52039816614035,62055,50102757263251.0,good,5.0,,2026-05-26 15:44:16+00:00,2026-05,2026-W22,True,False,50304023554451,IA,IA
52039775850515,62056,50102757263251.0,good,5.0,,2026-05-26 15:43:21+00:00,2026-05,2026-W22,True,False,50304023554451,IA,IA
52039804356499,62056,50102757263251.0,offered,,,2026-05-26 15:42:58+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52039483419155,62053,50102757263251.0,offered,,,2026-05-26 15:35:50+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52039475870995,62048,50102757263251.0,offered,,,2026-05-26 15:35:42+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52039481599891,62055,50102757263251.0,offered,,,2026-05-26 15:35:32+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52039293658899,60276,50775753383827.0,good,5.0,Bom ,2026-05-26 15:30:25+00:00,2026-05,2026-W22,True,False,42056691282323,Blis Resolve,Blis Resolve
52039255919635,60276,50775753383827.0,good,5.0,,2026-05-26 15:29:49+00:00,2026-05,2026-W22,True,False,42056691282323,Blis Resolve,Blis Resolve
52039227900691,60276,50775753383827.0,offered,,,2026-05-26 15:28:57+00:00,2026-05,2026-W22,False,False,42056691282323,Blis Resolve,Blis Resolve
52039167188755,62045,50102757263251.0,offered,,,2026-05-26 15:27:11+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52039110502419,62040,50775890335379.0,good,5.0,Atendimento top,2026-05-26 15:26:14+00:00,2026-05,2026-W22,True,False,42056691282323,Blis Resolve,Blis Resolve
52039108959123,62040,50775890335379.0,good,5.0,,2026-05-26 15:26:02+00:00,2026-05,2026-W22,True,False,42056691282323,Blis Resolve,Blis Resolve
52039072150419,62040,50775890335379.0,offered,,,2026-05-26 15:25:36+00:00,2026-05,2026-W22,False,False,42056691282323,Blis Resolve,Blis Resolve
52039008966931,62026,50775753383827.0,good,5.0,,2026-05-26 15:23:39+00:00,2026-05,2026-W22,True,False,42056691282323,Blis Resolve,Blis Resolve
52038910416531,62018,50775753383827.0,good,5.0,,2026-05-26 15:21:26+00:00,2026-05,2026-W22,True,False,42056691282323,Blis Resolve,Blis Resolve
52038827009427,62018,50775753383827.0,offered,,,2026-05-26 15:19:22+00:00,2026-05,2026-W22,False,False,42056691282323,Blis Resolve,Blis Resolve
52038678157459,62041,50102757263251.0,offered,,,2026-05-26 15:15:54+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52038646887571,62035,50775753383827.0,good,5.0,,2026-05-26 15:14:19+00:00,2026-05,2026-W22,True,False,42056691282323,Blis Resolve,Blis Resolve
52038568822035,62024,50775753383827.0,offered,,,2026-05-26 15:13:09+00:00,2026-05,2026-W22,False,False,42056691282323,Blis Resolve,Blis Resolve
52038573921939,62050,50102757263251.0,offered,,,2026-05-26 15:13:00+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52038556837267,62026,50775753383827.0,offered,,,2026-05-26 15:12:51+00:00,2026-05,2026-W22,False,False,42056691282323,Blis Resolve,Blis Resolve
52038535910547,62035,50775753383827.0,offered,,,2026-05-26 15:12:24+00:00,2026-05,2026-W22,False,False,42056691282323,Blis Resolve,Blis Resolve
52038466931731,62028,50102757263251.0,offered,,,2026-05-26 15:10:31+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52038436157459,61993,50775890335379.0,good,5.0,,2026-05-26 15:09:52+00:00,2026-05,2026-W22,True,False,42056691282323,Blis Resolve,Blis Resolve
