ticket_id,primeira_resposta_min,primeira_resposta_biz_min,resolucao_min,resolucao_biz_min,pendencia_min,pendencia_biz_min,primeira_resposta_h,resolucao_h,pendencia_h,num_respostas,num_reabertas
35088,,,0.0,0.0,0.0,0.0,,,,0,0
35097,,,0.0,0.0,0.0,0.0,,,,0,0
35096,,,0.0,0.0,0.0,0.0,,,,0,0
35063,,,0.0,0.0,0.0,0.0,,,,0,0
35099,,,0.0,0.0,0.0,0.0,,,,0,0
35102,,,0.0,0.0,0.0,0.0,,,,0,0
35081,,,0.0,0.0,0.0,0.0,,,,0,0
35078,,,0.0,0.0,0.0,0.0,,,,0,0
35084,,,0.0,0.0,0.0,0.0,,,,0,0
35094,,,0.0,0.0,0.0,0.0,,,,0,0
35101,,,0.0,0.0,0.0,0.0,,,,0,0
35076,,,0.0,0.0,0.0,0.0,,,,0,0
35079,,,0.0,0.0,0.0,0.0,,,,0,0
35077,,,0.0,0.0,0.0,0.0,,,,0,0
35086,,,0.0,0.0,0.0,0.0,,,,0,0
35087,,,0.0,0.0,0.0,0.0,,,,0,0
35095,,,0.0,0.0,0.0,0.0,,,,0,0
35089,,,0.0,0.0,0.0,0.0,,,,0,0
34992,,,21.0,21.0,21.0,21.0,,0.35,0.35,0,0
34974,89.0,89.0,89.0,89.0,89.0,89.0,1.48,1.48,1.48,1,0
34916,885.0,165.0,885.0,166.0,885.0,166.0,14.75,14.75,14.75,1,0
34950,19.0,0.0,201.0,175.0,95.0,73.0,0.32,3.35,1.58,4,0
34905,,,1008.0,155.0,1008.0,155.0,,16.8,16.8,0,0
34914,902.0,165.0,902.0,165.0,902.0,165.0,15.03,15.03,15.03,1,0
34849,1341.0,0.0,1487.0,122.0,1420.0,58.0,22.35,24.78,23.67,2,0
34840,,,1620.0,145.0,1489.0,14.0,,27.0,24.82,0,0
34809,2245.0,33.0,2335.0,122.0,2233.0,21.0,37.42,38.92,37.22,1,0
34801,,,2411.0,145.0,2277.0,11.0,,40.18,37.95,0,0
34771,39.0,39.0,2624.0,284.0,2561.0,222.0,0.65,43.73,42.68,2,0
34797,,,2455.0,145.0,2320.0,11.0,,40.92,38.67,0,0
34758,,,2612.0,272.0,2475.0,135.0,,43.53,41.25,0,0
34755,,,2627.0,287.0,2489.0,149.0,,43.78,41.48,0,0
34754,,,2640.0,300.0,2502.0,162.0,,44.0,41.7,0,0
34639,975.0,160.0,3840.0,686.0,3694.0,541.0,16.25,64.0,61.57,1,0
34484,160.0,128.0,4070.0,830.0,3977.0,790.0,2.67,67.83,66.28,3,1
34594,36.0,36.0,4011.0,771.0,3797.0,577.0,0.6,66.85,63.28,1,0
34381,3.0,3.0,4172.0,932.0,4005.0,781.0,0.05,69.53,66.75,4,0
34361,23.0,23.0,4193.0,953.0,4039.0,802.0,0.38,69.88,67.32,3,0
33410,113.0,113.0,5630.0,1490.0,127.0,127.0,1.88,93.83,2.12,2,0
34284,44.0,44.0,4265.0,1025.0,4103.0,866.0,0.73,71.08,68.38,10,1
31618,100.0,100.0,9858.0,3018.0,1401.0,501.0,1.67,164.3,23.35,4,1
28881,1538.0,553.0,16085.0,5020.0,1870.0,885.0,25.63,268.08,31.17,9,2
34606,89.0,56.0,1073.0,173.0,1073.0,173.0,1.48,17.88,17.88,3,0
35118,,,0.0,0.0,0.0,0.0,,,,0,0
35109,,,0.0,0.0,0.0,0.0,,,,0,0
35111,,,0.0,0.0,0.0,0.0,,,,0,0
35117,,,0.0,0.0,0.0,0.0,,,,0,0
35112,,,0.0,0.0,0.0,0.0,,,,0,0
35116,,,0.0,0.0,0.0,0.0,,,,0,0
35119,,,0.0,0.0,0.0,0.0,,,,0,0
35115,,,0.0,0.0,0.0,0.0,,,,0,0
35120,,,0.0,0.0,0.0,0.0,,,,0,0
35122,,,0.0,0.0,0.0,0.0,,,,0,0
35110,,,0.0,0.0,0.0,0.0,,,,0,0
35114,,,0.0,0.0,0.0,0.0,,,,0,0
35121,,,0.0,0.0,0.0,0.0,,,,0,0
35113,,,0.0,0.0,0.0,0.0,,,,0,0
35123,,,0.0,0.0,0.0,0.0,,,,0,0
35127,,,0.0,0.0,0.0,0.0,,,,0,0
35126,,,0.0,0.0,0.0,0.0,,,,0,0
35125,,,0.0,0.0,0.0,0.0,,,,0,0
35124,,,0.0,0.0,0.0,0.0,,,,0,0
35128,,,0.0,0.0,0.0,0.0,,,,0,0
35130,,,0.0,0.0,0.0,0.0,,,,0,0
35133,,,0.0,0.0,0.0,0.0,,,,0,0
35136,,,0.0,0.0,0.0,0.0,,,,0,0
35131,,,0.0,0.0,0.0,0.0,,,,0,0
35132,,,0.0,0.0,0.0,0.0,,,,0,0
35129,,,0.0,0.0,0.0,0.0,,,,0,0
35139,,,0.0,0.0,0.0,0.0,,,,0,0
35146,,,0.0,0.0,0.0,0.0,,,,0,0
35140,,,0.0,0.0,0.0,0.0,,,,0,0
35157,,,0.0,0.0,0.0,0.0,,,,0,0
35155,,,0.0,0.0,0.0,0.0,,,,0,0
35166,,,0.0,0.0,0.0,0.0,,,,0,0
35135,,,0.0,0.0,0.0,0.0,,,,0,0
35137,,,0.0,0.0,0.0,0.0,,,,0,0
35144,,,0.0,0.0,0.0,0.0,,,,0,0
35143,,,0.0,0.0,0.0,0.0,,,,0,0
35149,,,0.0,0.0,0.0,0.0,,,,0,0
35153,,,0.0,0.0,0.0,0.0,,,,0,0
35158,,,0.0,0.0,0.0,0.0,,,,0,0
35159,,,0.0,0.0,0.0,0.0,,,,0,0
35134,,,0.0,0.0,0.0,0.0,,,,0,0
35138,,,0.0,0.0,0.0,0.0,,,,0,0
35156,,,0.0,0.0,0.0,0.0,,,,0,0
35154,,,0.0,0.0,0.0,0.0,,,,0,0
35162,,,0.0,0.0,0.0,0.0,,,,0,0
35165,,,0.0,0.0,0.0,0.0,,,,0,0
35145,,,0.0,0.0,0.0,0.0,,,,0,0
35148,,,0.0,0.0,0.0,0.0,,,,0,0
35152,,,0.0,0.0,0.0,0.0,,,,0,0
35161,,,0.0,0.0,0.0,0.0,,,,0,0
35167,,,0.0,0.0,0.0,0.0,,,,0,0
35164,,,0.0,0.0,0.0,0.0,,,,0,0
35141,,,0.0,0.0,0.0,0.0,,,,0,0
35142,,,0.0,0.0,0.0,0.0,,,,0,0
35147,,,0.0,0.0,0.0,0.0,,,,0,0
35150,,,0.0,0.0,0.0,0.0,,,,0,0
35160,,,0.0,0.0,0.0,0.0,,,,0,0
35151,,,0.0,0.0,0.0,0.0,,,,0,0
35163,,,0.0,0.0,0.0,0.0,,,,0,0
35170,,,0.0,0.0,0.0,0.0,,,,0,0
35172,,,0.0,0.0,0.0,0.0,,,,0,0
35186,,,0.0,0.0,0.0,0.0,,,,0,0
35175,,,0.0,0.0,0.0,0.0,,,,0,0
35182,,,0.0,0.0,0.0,0.0,,,,0,0
35171,,,0.0,0.0,0.0,0.0,,,,0,0
35206,,,0.0,0.0,0.0,0.0,,,,0,0
35207,,,0.0,0.0,0.0,0.0,,,,0,0
35174,,,0.0,0.0,0.0,0.0,,,,0,0
35176,,,0.0,0.0,0.0,0.0,,,,0,0
35168,,,0.0,0.0,0.0,0.0,,,,0,0
35181,,,0.0,0.0,0.0,0.0,,,,0,0
35185,,,0.0,0.0,0.0,0.0,,,,0,0
35194,,,0.0,0.0,0.0,0.0,,,,0,0
35189,,,0.0,0.0,0.0,0.0,,,,0,0
35193,,,0.0,0.0,0.0,0.0,,,,0,0
35201,,,0.0,0.0,0.0,0.0,,,,0,0
35197,,,0.0,0.0,0.0,0.0,,,,0,0
35169,,,0.0,0.0,0.0,0.0,,,,0,0
35173,,,0.0,0.0,0.0,0.0,,,,0,0
35204,,,0.0,0.0,0.0,0.0,,,,0,0
35178,,,0.0,0.0,0.0,0.0,,,,0,0
35180,,,0.0,0.0,0.0,0.0,,,,0,0
35184,,,0.0,0.0,0.0,0.0,,,,0,0
35199,,,0.0,0.0,0.0,0.0,,,,0,0
35187,,,0.0,0.0,0.0,0.0,,,,0,0
35177,,,0.0,0.0,0.0,0.0,,,,0,0
35179,,,0.0,0.0,0.0,0.0,,,,0,0
35183,,,0.0,0.0,0.0,0.0,,,,0,0
35188,,,0.0,0.0,0.0,0.0,,,,0,0
35190,,,0.0,0.0,0.0,0.0,,,,0,0
35192,,,0.0,0.0,0.0,0.0,,,,0,0
35195,,,0.0,0.0,0.0,0.0,,,,0,0
35198,,,0.0,0.0,0.0,0.0,,,,0,0
35202,,,0.0,0.0,0.0,0.0,,,,0,0
35203,,,0.0,0.0,0.0,0.0,,,,0,0
35205,,,0.0,0.0,0.0,0.0,,,,0,0
35208,,,0.0,0.0,0.0,0.0,,,,0,0
35196,,,0.0,0.0,0.0,0.0,,,,0,0
35191,,,0.0,0.0,0.0,0.0,,,,0,0
35200,,,0.0,0.0,0.0,0.0,,,,0,0
35212,,,0.0,0.0,0.0,0.0,,,,0,0
35216,,,0.0,0.0,0.0,0.0,,,,0,0
35218,,,0.0,0.0,0.0,0.0,,,,0,0
35209,,,0.0,0.0,0.0,0.0,,,,0,0
35210,,,0.0,0.0,0.0,0.0,,,,0,0
35211,,,0.0,0.0,0.0,0.0,,,,0,0
35217,,,0.0,0.0,0.0,0.0,,,,0,0
35214,,,0.0,0.0,0.0,0.0,,,,0,0
35213,,,0.0,0.0,0.0,0.0,,,,0,0
35219,,,0.0,0.0,0.0,0.0,,,,0,0
35215,,,0.0,0.0,0.0,0.0,,,,0,0
35220,,,0.0,0.0,0.0,0.0,,,,0,0
35239,,,0.0,0.0,0.0,0.0,,,,0,0
35247,,,0.0,0.0,0.0,0.0,,,,0,0
35246,,,0.0,0.0,0.0,0.0,,,,0,0
35224,,,0.0,0.0,0.0,0.0,,,,0,0
35232,,,0.0,0.0,0.0,0.0,,,,0,0
35243,,,0.0,0.0,0.0,0.0,,,,0,0
35234,,,0.0,0.0,0.0,0.0,,,,0,0
35244,,,0.0,0.0,0.0,0.0,,,,0,0
35255,,,0.0,0.0,0.0,0.0,,,,0,0
35259,,,0.0,0.0,0.0,0.0,,,,0,0
35254,,,0.0,0.0,0.0,0.0,,,,0,0
35226,,,0.0,0.0,0.0,0.0,,,,0,0
35235,,,0.0,0.0,0.0,0.0,,,,0,0
35236,,,0.0,0.0,0.0,0.0,,,,0,0
35238,,,0.0,0.0,0.0,0.0,,,,0,0
35240,,,0.0,0.0,0.0,0.0,,,,0,0
35245,,,0.0,0.0,0.0,0.0,,,,0,0
35242,,,0.0,0.0,0.0,0.0,,,,0,0
35250,,,0.0,0.0,0.0,0.0,,,,0,0
35251,,,0.0,0.0,0.0,0.0,,,,0,0
35223,,,0.0,0.0,0.0,0.0,,,,0,0
35221,,,0.0,0.0,0.0,0.0,,,,0,0
35233,,,0.0,0.0,0.0,0.0,,,,0,0
35228,,,0.0,0.0,0.0,0.0,,,,0,0
35225,,,0.0,0.0,0.0,0.0,,,,0,0
35231,,,0.0,0.0,0.0,0.0,,,,0,0
35237,,,0.0,0.0,0.0,0.0,,,,0,0
35248,,,0.0,0.0,0.0,0.0,,,,0,0
35249,,,0.0,0.0,0.0,0.0,,,,0,0
35256,,,0.0,0.0,0.0,0.0,,,,0,0
35257,,,0.0,0.0,0.0,0.0,,,,0,0
35222,,,0.0,0.0,0.0,0.0,,,,0,0
35229,,,0.0,0.0,0.0,0.0,,,,0,0
35241,,,0.0,0.0,0.0,0.0,,,,0,0
35230,,,0.0,0.0,0.0,0.0,,,,0,0
35252,,,0.0,0.0,0.0,0.0,,,,0,0
35258,,,0.0,0.0,0.0,0.0,,,,0,0
35260,,,0.0,0.0,0.0,0.0,,,,0,0
35263,,,0.0,0.0,0.0,0.0,,,,0,0
35270,,,0.0,0.0,0.0,0.0,,,,0,0
35265,,,0.0,0.0,0.0,0.0,,,,0,0
35275,,,0.0,0.0,0.0,0.0,,,,0,0
35267,,,0.0,0.0,0.0,0.0,,,,0,0
35266,,,0.0,0.0,0.0,0.0,,,,0,0
35262,,,0.0,0.0,0.0,0.0,,,,0,0
35264,,,0.0,0.0,0.0,0.0,,,,0,0
35271,,,0.0,0.0,0.0,0.0,,,,0,0
35268,,,0.0,0.0,0.0,0.0,,,,0,0
35281,,,0.0,0.0,0.0,0.0,,,,0,0
35285,,,0.0,0.0,0.0,0.0,,,,0,0
35273,,,0.0,0.0,0.0,0.0,,,,0,0
35283,,,0.0,0.0,0.0,0.0,,,,0,0
35277,,,0.0,0.0,0.0,0.0,,,,0,0
35284,,,0.0,0.0,0.0,0.0,,,,0,0
35227,,,0.0,0.0,0.0,0.0,,,,0,0
35276,,,0.0,0.0,0.0,0.0,,,,0,0
35279,,,0.0,0.0,0.0,0.0,,,,0,0
35282,,,0.0,0.0,0.0,0.0,,,,0,0
35274,,,0.0,0.0,0.0,0.0,,,,0,0
35280,,,0.0,0.0,0.0,0.0,,,,0,0
35287,,,0.0,0.0,0.0,0.0,,,,0,0
35288,,,0.0,0.0,0.0,0.0,,,,0,0
35253,,,0.0,0.0,0.0,0.0,,,,0,0
35261,,,0.0,0.0,0.0,0.0,,,,0,0
35272,,,0.0,0.0,0.0,0.0,,,,0,0
35269,,,0.0,0.0,0.0,0.0,,,,0,0
35286,,,0.0,0.0,0.0,0.0,,,,0,0
35278,,,0.0,0.0,0.0,0.0,,,,0,0
35290,,,0.0,0.0,0.0,0.0,,,,0,0
35291,,,0.0,0.0,0.0,0.0,,,,0,0
35298,,,0.0,0.0,0.0,0.0,,,,0,0
35292,,,0.0,0.0,0.0,0.0,,,,0,0
35295,,,0.0,0.0,0.0,0.0,,,,0,0
35306,,,0.0,0.0,0.0,0.0,,,,0,0
35301,,,0.0,0.0,0.0,0.0,,,,0,0
35299,,,0.0,0.0,0.0,0.0,,,,0,0
35305,,,0.0,0.0,0.0,0.0,,,,0,0
35307,,,0.0,0.0,0.0,0.0,,,,0,0
35312,,,0.0,0.0,0.0,0.0,,,,0,0
35294,,,0.0,0.0,0.0,0.0,,,,0,0
35297,,,0.0,0.0,0.0,0.0,,,,0,0
35293,,,0.0,0.0,0.0,0.0,,,,0,0
35304,,,0.0,0.0,0.0,0.0,,,,0,0
35302,,,0.0,0.0,0.0,0.0,,,,0,0
35313,,,0.0,0.0,0.0,0.0,,,,0,0
35296,,,0.0,0.0,0.0,0.0,,,,0,0
35303,,,0.0,0.0,0.0,0.0,,,,0,0
35308,,,0.0,0.0,0.0,0.0,,,,0,0
35300,,,0.0,0.0,0.0,0.0,,,,0,0
35311,,,0.0,0.0,0.0,0.0,,,,0,0
35310,,,0.0,0.0,0.0,0.0,,,,0,0
35309,,,0.0,0.0,0.0,0.0,,,,0,0
35315,,,0.0,0.0,0.0,0.0,,,,0,0
35323,,,0.0,0.0,0.0,0.0,,,,0,0
35319,,,0.0,0.0,0.0,0.0,,,,0,0
35337,,,0.0,0.0,0.0,0.0,,,,0,0
35327,,,0.0,0.0,0.0,0.0,,,,0,0
